year,state,total_votes,dem,rep,other
1984,IN,2233069,0.3768271378985600,0.6167431458678620,0.006429716233578090
1984,KS,1021991,0.32598036577621500,0.66272207876586,0.011297555457924800
1984,KY,1369345,0.39401246581394800,0.6000693762346230,0.005918157951429330
1984,LA,1706822,0.38175392630280100,0.6077370692433070,0.010509004453891500
1984,MA,2559383,0.4843378267340210,0.5122078250890940,0.0034543481768848200
1984,MD,1675873,0.4701639086016660,0.5250505259050060,0.004785565493327960
1984,ME,553144,0.3878104074165140,0.6083406852465180,0.003848907336968310
1984,MI,3801658,0.4023607594370670,0.5922602717025050,0.005378968860428790
1984,MN,2084449,0.49718846563288400,0.49538415187898600,0.007427382488129960
1984,MO,2122771,0.39975249332123000,0.6002475066787700,NA
1984,MS,941104,0.3742328159268260,0.6188232118873150,0.006943972185858310
1984,MT,384377,0.381765818454278,0.6047448208399570,0.013489360705765400
1984,NC,2175361,0.37891963678672200,0.6189689895148440,0.0021113736984344200
1984,ND,308971,0.33798964951403200,0.6483974224118120,0.013612928074155800
1984,NE,652090,0.28809826864389900,0.7055069085555680,0.0063948228005336700
1984,NH,388904,0.30945168987719300,0.6866733178367930,0.003874992286014030
1984,NJ,3217862,0.3919754793710860,0.6009051973018110,0.007119323327103520
1984,NM,514370,0.392264323347007,0.5970429846219650,0.010692692031028200
1984,NV,282717,0.32419345140193200,0.6676995016217630,0.008107046976304930
1984,NY,6806810,0.45830704838242900,0.5383965469875020,0.0032964046300690000
1984,OH,4563235,0.40003199484576200,0.5869868634861010,0.012981141668136700
1984,OK,1255676,0.30667146620625100,0.6861085184394700,0.007220015354279290
1984,OR,1226527,0.43739681230009600,0.559058218856984,0.003544968842919890
1984,PA,4844903,0.45989176666694900,0.5334106792230930,0.006697554109958450
1984,RI,410489,0.4801736465532570,0.5166520905554110,0.0031742628913320500
1984,SC,968529,0.3556517151267540,0.6355400819180430,0.0088082029552032
1984,SD,317867,0.365287997810405,0.6300339450147390,0.004678057174856150
1984,TN,1711993,0.4157224941924410,0.5783972247550080,0.005880281052551030
1984,TX,5397571,0.36113948292667200,0.636106129961051,0.0027543871122769900
1984,UT,629656,0.246752194849251,0.7450179145438140,0.00822989060693458
1984,VA,2146635,0.3709293848278820,0.622871610683698,0.006199004488420250
1984,VT,234561,0.408124112704158,0.579230988953833,0.012644898342009100
1984,WA,1874910,0.42580817212559500,0.5609175907110210,0.013274237163383800
1984,WI,2211689,0.4502170060980550,0.5419315283477920,0.007851465554153410
1984,WV,735742,0.44597834567008500,0.551121181066189,0.0029004732637256000
1984,WY,188968,0.28242877100884800,0.7050982176876510,0.012473011303501100
1988,AK,200116,0.362709628415519,0.595909372563913,0.03659877271182710
1988,AL,1378476,0.39863298309147200,0.5916504893810270,0.009349455485623250
1988,AR,827738,0.4219173216645850,0.563678361993771,0.014404316341644300
1988,AZ,1171873,0.387438741228785,0.5995026764845680,0.012811115197636600
1988,CA,9887065,0.4755944256460340,0.5112656789451670,0.013057869044049000
1988,CO,1372394,0.45282404324122700,0.5305888833673130,0.016485790523712600
1988,CT,1443394,0.4687451936200370,0.5197756122029050,0.011474344496374500
1988,DC,192877,0.8264697190437430,0.1430445309705150,0.022433986426582700
1988,DE,249891,0.4347775630174760,0.5587996366415760,0.006422800340948650
1988,FL,4302313,0.3850721693191550,0.6087155908926200,0.006148088249274290
1988,GA,1809672,0.394984284444916,0.5975287234371750,0.007478703323033120
1988,HI,354461,0.5426944007944460,0.44751044543687500,0.00979515376867977
1988,IA,1225614,0.5471192398259160,0.4449647278833300,0.007916032290753860
1988,ID,408968,0.36010641419377600,0.6207845112576050,0.01910907454861990
1988,IL,4559120,0.4860455526505120,0.5068826878871360,0.007071759462352380
1988,IN,2168621,0.39686187674102600,0.5984277566250630,0.0047103666339116000
1988,KS,993044,0.4255964488985380,0.5579299608073760,0.01647359029408570
1988,KY,1322517,0.4388359469103230,0.5552147911898300,0.0059492618998470300
