"","cycle","state","state_abb","party","vote_share","total_votes"
"394",1984,"Minnesota","MN","dem",0.497188465632884,1036364
"395",1984,"Minnesota","MN","rep",0.495384151878986,1032603
"396",1984,"Minnesota","MN","other",0.00742738248812996,15482
"397",1984,"Mississippi","MS","dem",0.374232815926826,352192
"398",1984,"Mississippi","MS","rep",0.618823211887315,582377
"399",1984,"Mississippi","MS","other",0.00694397218585831,6535
"400",1984,"Missouri","MO","dem",0.39975249332123,848583.000000001
"401",1984,"Missouri","MO","rep",0.60024750667877,1274188
"402",1984,"Missouri","MO","other",0,0
"403",1984,"Montana","MT","dem",0.381765818454278,146742
"404",1984,"Montana","MT","rep",0.604744820839957,232450
"405",1984,"Montana","MT","other",0.0134893607057654,5184.99999999999
"406",1984,"Nebraska","NE","dem",0.288098268643899,187866
"407",1984,"Nebraska","NE","rep",0.705506908555568,460054
"408",1984,"Nebraska","NE","other",0.00639482280053367,4170
"409",1984,"Nevada","NV","dem",0.324193451401932,91655
"410",1984,"Nevada","NV","rep",0.667699501621763,188770
"411",1984,"Nevada","NV","other",0.00810704697630493,2292
"412",1984,"New Hampshire","NH","dem",0.309451689877193,120347
"413",1984,"New Hampshire","NH","rep",0.686673317836793,267050
"414",1984,"New Hampshire","NH","other",0.00387499228601403,1507
"415",1984,"New Jersey","NJ","dem",0.391975479371086,1261323
"416",1984,"New Jersey","NJ","rep",0.600905197301811,1933630
"417",1984,"New Jersey","NJ","other",0.00711932332710352,22909
"418",1984,"New Mexico","NM","dem",0.392264323347007,201769
"419",1984,"New Mexico","NM","rep",0.597042984621965,307101
"420",1984,"New Mexico","NM","other",0.0106926920310282,5499.99999999997
"421",1984,"New York","NY","dem",0.458307048382429,3119609
"422",1984,"New York","NY","rep",0.538396546987502,3664763
"423",1984,"New York","NY","other",0.003296404630069,22438
"424",1984,"North Carolina","NC","dem",0.378919636786722,824287
"425",1984,"North Carolina","NC","rep",0.618968989514844,1346481
"426",1984,"North Carolina","NC","other",0.00211137369843442,4593
"427",1984,"North Dakota","ND","dem",0.337989649514032,104429
"428",1984,"North Dakota","ND","rep",0.648397422411812,200336
"429",1984,"North Dakota","ND","other",0.0136129280741558,4205.99999999999
"430",1984,"Ohio","OH","dem",0.400031994845762,1825440
"431",1984,"Ohio","OH","rep",0.586986863486101,2678559
"432",1984,"Ohio","OH","other",0.0129811416681367,59235.9999999998
"433",1984,"Oklahoma","OK","dem",0.306671466206251,385080
"434",1984,"Oklahoma","OK","rep",0.68610851843947,861530
"435",1984,"Oklahoma","OK","other",0.00722001535427929,9066
"436",1984,"Oregon","OR","dem",0.437396812300096,536479
"437",1984,"Oregon","OR","rep",0.559058218856984,685700
"438",1984,"Oregon","OR","other",0.00354496884291989,4348
"439",1984,"Pennsylvania","PA","dem",0.459891766666949,2228131
